#,Author,Rating,Date,Date (parsed),Review Text,Language,Review ID
36,اثتين تتيني,,قبل سنة,,اخيس جامعة على مر العصور الشؤون والإدارة المفروض يساعدون الطلاب بس عند الجامعة هذي العكس يدامون صورة للأسف خريج مو خريج ماينفعونك بشى ! وكلن يصرفك يقول ماقدر مادري وش يقدرون عليه اتمنى من العميد يلتفت للوضع لانه مو طبيعي ابد,ar,ChZDSUhNMG9nS0VJQ0FnSURfMEppckVBEAE
37,اثتين تتيني,,,,"اثتين تتيني
مراجعتان (2)",ar,ChZDSUhNMG9nS0VJQ0FnSURfMEppckVBEAE
38,w,2,قبل سنة,,"السلام عليكم ورحمة الله وبركاته
اما بعد . اتمنى من الجامعة الانتباه من عدم رفع الصوت على زوجتي وعدم تغييبها نظرا لبعد مسافة دوامها وحتى لو جابت عذر مو منطقي لكم يمشي ومهما صار تكون صح دائما وحتى اشوف انكم من الحين تعطوها A+ وترا عطيتكم  نجمتين عشان القاعات بعيده عن بعض وتقولي تتعب من المشي اتمنى توفرون لها عربه تركب معها وتنقلها يكون افضل وشكرا لكم ( التقييم مع الايام ممكن يزيد وممكن ينقص )",ar,ChZDSUhNMG9nS0VJQ0FnSUNfdC0yYVNBEAE
39,Remaas Maxamed,5,قبل سنة,,"""كلّي شوق لجامعة القصيم وأتمنى أكون وحدة من طالباتها وأعيش بين أهلها وناسها
""اللهم اجعل جامعة القصيم منارة للعلم والخير، وبارك في طلابها وأساتذتها، وارزقهم التوفيق والبركة. يا رب اجعلها مكانًا يخرج منه العلماء والمبدعين، واحفظها من كل سوء وزدها رفعة ونجاحًا",ar,ChZDSUhNMG9nS0VJQ0FnSURfLWVUZkxBEAE
40,Remaas Maxamed,,,,"Remaas Maxamed
مراجعتان (2)",ar,ChZDSUhNMG9nS0VJQ0FnSURfLWVUZkxBEAE
41,Ahmad M,3,قبل شهر,,جامعة تقضيت واجب لن تجد فيها الرفاهية,ar,Ci9DQUlRQUNvZENodHljRjlvT21aUFNHNWpSRU5YTnpWTmJITklOWFJFYkUxRU1WRRAB
42,遊ぶ,5,قبل شهر,,في سكن للطلاب فقط ب ٣٨٥ حولها للترم كامل,ar,Ci9DQUlRQUNvZENodHljRjlvT25oMVEyaGtUMk5pVGsxR2IyTmlTbUZEWmt0dGVHYxAB
43,Rawan 84,5,قبل 10 أشهر,,جامعة القصيم من أفضل الجامعات من حيث البيئة التعليمية والكادر الأكاديمي المتميز والمرافق المتطورة وتعامل الموظفين راق والأنظمة واضحة وسهلة والجامعة تهتم بتطوير طلابها علميا وعمليا وتوفر لهم كل ما يحتاجونه للنجاح والتفوق,ar,ChdDSUhNMG9nS0VJU1J0S0w2dTQzYmdRRRAB
44,mosjh,5,قبل سنة,,"بعد فتره من الزمن وان شاءالله ماهي فتره بعيده L بتدخل الجامعه وارجو من حضرتكم توفير كامل خدمات الراحه لها
وهذا كلام يوصلكم ويتعداكم في حال تم ازعاجها او الضغط عليها او اعطائها اختبارات ورا بعض او اسايمنتات ورا بعض سيتم انقاص التقييم الى (نجمه واحده) وقد اعذر من انذر",ar,ChdDSUhNMG9nS0VJQ0FnTUN3NzdDem53RRAB
45,مزنه الحربي,5,قبل 4 سنوات,2022-04-07,"مبنى العمادة للقبول و التسجيل في الدور الخامس .
الجامعه جميل جدًا",ar,ChdDSUhNMG9nS0VJQ0FnSUNxbU8teml3RRAB
46,مزنه الحربي,,,,"مزنه الحربي
مرشد محلي · 102 من المراجعات · 145 صورة",ar,ChdDSUhNMG9nS0VJQ0FnSUNxbU8teml3RRAB
47,حمدان الحربي,2,قبل 7 سنوات,2019-04-08,بعض الدكاتره عسسل مثل لطفي و كداشي والحجري و رضوان .. وبعد الدكاتره لا والله الا ..............!!,ar,ChZDSUhNMG9nS0VJQ0FnSUNnay1Hckp3EAE
48,حمدان الحربي,,,,"حمدان الحربي
مرشد محلي · 35 مراجعة · 10 صور",ar,ChZDSUhNMG9nS0VJQ0FnSUNnay1Hckp3EAE
49,سلطان العنزي,,قبل 11 شهرًا,2025-05-11,السلام عليكم اول شي حطيت نجمه عشان اقدر اعلق و ثاني شي زوجتي عندها فاينل الساعه9 و جتكم 10:20 ليه تقولون لها راح عليك؟؟؟؟ مايتعبر تاخرت مره و اساساً كل تاخيره فيها خيره حسبي الله عليكم و ارجعو اختبرو لها,ar,ChdDSUhNMG9nS0VJQ0FnTUNZcVlydnR3RRAB
50,سلطان العنزي,,,,"سلطان العنزي
مرشد محلي · 27 مراجعة · 11 صورة",ar,ChdDSUhNMG9nS0VJQ0FnTUNZcVlydnR3RRAB
51,Omar Ibrahim,5,قبل سنة,,تُعد جامعة القصيم من أبرز الجامعات السعودية، تأسست عام 2004 وتضم العديد من الكليات في مختلف التخصصات مثل الطب، الهندسة، والعلوم. تقع في منطقة القصيم وتوفر بيئة تعليمية متطورة، تشمل معامل بحثية ومرافق حديثة. تهدف إلى تخريج كوادر مؤهلة تساهم في تنمية المملكة، وتُعتبر من الجامعات الرائدة في البحث العلمي والتطوير الأكاديمي.,ar,ChZDSUhNMG9nS0VJQ0FnTURRdHNfVGJREAE
52,Omar Ibrahim,,,,"Omar Ibrahim
مرشد محلي · 460 مراجعة · 252 صورة",ar,ChZDSUhNMG9nS0VJQ0FnTURRdHNfVGJREAE
53,boda osman,5,تاريخ التعديل: قبل 5 أشهر,,مستشفى جامعه القصيم ممتاز جدا ومعاملة طيبه,ar,Ci9DQUlRQUNvZENodHljRjlvT21NeGJIZ3dUMlpuUzNvMFZHdE1PVzFTTW5kTlVYYxAB
54,boda osman,,,,"boda osman
مرشد محلي · 18 مراجعة · 15 صورة",ar,Ci9DQUlRQUNvZENodHljRjlvT21NeGJIZ3dUMlpuUzNvMFZHdE1PVzFTTW5kTlVYYxAB
55,abduallah ali,,قبل سنة,,"مع احترامي وتقديري للجامعه ومنسوبيها
إلا أن النظام في طريقة فتح ملف لا اهليه العلاج شي مخجل و عدم احترافية في العمل تقعد معامله اكثر من شهر واذا جت الموافقة فتح الملف اكثر من عشر ايام ارجو من مسوبين المستشفى المبادرة لحل هذا الخلل والتقصير من بعض الموظفين",ar,ChdDSUhNMG9nS0VJQ0FnSUR2cFpEeTZRRRAB
56,abduallah ali,,,,"abduallah ali
مرشد محلي · 208 مراجعات · 50 صورة",ar,ChdDSUhNMG9nS0VJQ0FnSUR2cFpEeTZRRRAB
57,Fahad Fahad,5,قبل 7 أشهر,,عندي استفسار بخصوص وسائل النقل كيف الشخص الي ماعنده سياره يروح مشوار من جامعة القصيم الى محطة قطار سار ماهي الخيارات المتاحه,ar,Ci9DQUlRQUNvZENodHljRjlvT2xSck5EbEdVekF4VEZwUE9FOTBha2RQVkc1M01XYxAB
58,Fahad Fahad,,,,"Fahad Fahad
مرشد محلي · 14 مراجعة",ar,Ci9DQUlRQUNvZENodHljRjlvT2xSck5EbEdVekF4VEZwUE9FOTBha2RQVkc1M01XYxAB
59,مبارك العنزي,5,قبل شهر,,ودك تمشى ، ودك تقهوى ، ودك تعلم ، ودك تقراء ، ودك تسوي رياضة ، كله موجود .,ar,Ci9DQUlRQUNvZENodHljRjlvT2prMFgzUjZhbWR6Ym1OT1RuaFdMVUoyUW5oM1puYxAB
60,مبارك العنزي,,,,"مبارك العنزي
مرشد محلي · 5 مراجعات · 35 صورة",ar,Ci9DQUlRQUNvZENodHljRjlvT2prMFgzUjZhbWR6Ym1OT1RuaFdMVUoyUW5oM1puYxAB
61,مزيون قيمز 777,3,قبل 11 شهرًا,2025-05-11,السلام عليكم ثلاث نجمات خاصه فقط الى الدكتور بندر الروق كلية العلوم في عنيزة افضل واجمل دكتور قمة في الادب والشرح والتسهيل على الطالب مع رفع مستوى الطالب في الادب هنيئاً للجامعة في الدكتور بندر اما باقي الجامعة واللجان لو فيه سالب نجمه عطيتهم,ar,ChZDSUhNMG9nS0VJQ0FnTUNvb2VpU2VBEAE
62,مزيون قيمز 777,,,,"مزيون قيمز 777
4 مراجعات",ar,ChZDSUhNMG9nS0VJQ0FnTUNvb2VpU2VBEAE
63,سوسوو,,قبل 9 أشهر,,السلام عليكم تعبتوا زوجتي من كثر الواجبات اتمنى تخففون عليها وتخلون اختباراتها سهله ومره وحده اتمنى تحولون الدراسة اونلاين علشان ماتتعب واجد بالحر وياليت تعطونها A+ وترفعون معدلها وشكرا,ar,Ci9DQUlRQUNvZENodHljRjlvT25SNVQydElhalpyYzIxUE5GQjRlVzlMVWpVd2VXYxAB
64,مرشد متجول,5,قبل سنة,,الصراحة احمد الله سبحانه على تغير الاحوال الى الافضل فالخدمات التي قدمها لي جميع من مررت عليهم ابتداء من حراس الامن انتهاء بمن بعدهم  من موظفين ورؤساء وغيرهم وجميعهم لا اعرفهم اشكرهم على حسن التعامل وتقديم الخدمه لي وتيسير الامر فالتعامل الراقي الذي واجهته يشعرني بالفخر ويحتم علي الشكر .,ar,ChZDSUhNMG9nS0VJQ0FnSUQzNzRDM2FREAE
65,مرشد متجول,,,,"مرشد متجول
مرشد محلي · 177 مراجعة · 42 صورة",ar,ChZDSUhNMG9nS0VJQ0FnSUQzNzRDM2FREAE
66,عبدالرحمن السدلان,5,قبل شهر,,أفضل جامعة بالمملكة 👍🏻👍🏻👍🏻 …,ar,Ci9DQUlRQUNvZENodHljRjlvT2pob2VpMVRSV1J4V0d0UWJGVkRNbWh1ZG1KR1UzYxAB
67,عبدالرحمن السدلان,,,,"عبدالرحمن السدلان
مرشد محلي · 435 مراجعة · 839 صورة",ar,Ci9DQUlRQUNvZENodHljRjlvT2pob2VpMVRSV1J4V0d0UWJGVkRNbWh1ZG1KR1UzYxAB
68,Saleh,5,قبل 7 أشهر,,اول شي حبيبتي عندكم بالجامعه ضبطوها لا اجي اقلب الجامعه فوق تحت هذاي علمتكم,ar,Ci9DQUlRQUNvZENodHljRjlvT2trMk5FVlVla0pNY25WSFVFVnlVRzF5ZDFGaWRIYxAB
69,شعال,5,قبل 7 أشهر,,"التوفيق بيد الله
التخصص ثم التخصص ثم التخصص
والاهتمام والادراك باهمية العلم والتوفيق بيدالله",ar,Ci9DQUlRQUNvZENodHljRjlvT2tWVlpVNHRXazR6VDFkMWMzZGZiMEpWYjI5blUxRRAB
70,شعال,,,,"شعال
مرشد محلي · 144 مراجعة · 43 صورة",ar,Ci9DQUlRQUNvZENodHljRjlvT2tWVlpVNHRXazR6VDFkMWMzZGZiMEpWYjI5blUxRRAB
71,مجرد رأي,5,قبل 7 أشهر,,جامعة رائدة وصرح علمي بارز ضمن صروح التعليم بالمملكة,ar,Ci9DQUlRQUNvZENodHljRjlvT2poTmMwZGlOV2N0UlRKSlVHMHRiVUk0YTFwRk9WRRAB
72,مجرد رأي,,,,"مجرد رأي
مرشد محلي · 128 مراجعة · 37 صورة",ar,Ci9DQUlRQUNvZENodHljRjlvT2poTmMwZGlOV2N0UlRKSlVHMHRiVUk0YTFwRk9WRRAB
73,محمد عبدالله,4,تاريخ التعديل: قبل 3 سنوات,2023-04-07,موقع الجامعة مناسب لمحافظات القصيم,ar,ChdDSUhNMG9nS0VJQ0FnSURTMnRPRy1BRRAB
74,محمد عبدالله,,,,"محمد عبدالله
مرشد محلي · 693 مراجعة · 1,166 صورة",ar,ChdDSUhNMG9nS0VJQ0FnSURTMnRPRy1BRRAB
75,Hind mohammad,5,قبل سنتين,,الجامعه صرح علمي عملاق مباني جميله وموظفين اكفاء وللامانه تعامل راقي ذهبت اليوم لمقابلة معالي رئيس الجامعه ، وبكل صراحه وصدق اقولها حتى لو لم يتم ماأتيت لأجله ، التعامل جداً راقي ، قابلنا الرئيس بكل اريحيه واستمع لحاجتي ووعدني خيرا ، من هنا اقدم شكري الجزيل لمعاليه ، والشكر للسكرتاريه والقائمين على اللقاءات معه لأخلاقهم العاليه ومعاملتهم الطيبه وبشاشتهم الودوده، وافتخر في ان اكون من العاملين في  هذا الصرح العملاق شكرا ثم شكرا ثم شكرا وحزيتم خير الجزاء,ar,ChZDSUhNMG9nS0VJQ0FnSURwbS1yYU5REAE
76,Hind mohammad,,,,"Hind mohammad
مرشد محلي · 30 مراجعة · 9 صور",ar,ChZDSUhNMG9nS0VJQ0FnSURwbS1yYU5REAE
77,خالد خالد الصعب,4,تاريخ التعديل: قبل شهر,,ماشاء الله تبارك الله مدينة جامعية,ar,Ci9DQUlRQUNvZENodHljRjlvT21oU1dHeDJTbmMyZEdaaWFFSlRORFY2T1U5NlduYxAB
78,خالد خالد الصعب,,,,"خالد خالد الصعب
مرشد محلي · 70 مراجعة · صورة واحدة",ar,Ci9DQUlRQUNvZENodHljRjlvT21oU1dHeDJTbmMyZEdaaWFFSlRORFY2T1U5NlduYxAB
79,NA,,قبل 7 أشهر,,حسبي الله كله من القبول الموحد ما انقبلت فيها الله لا يوفقكم,ar,Ci9DQUlRQUNvZENodHljRjlvT2tOUk16TktkemhrVTFkb1pEbFNTV28xUjFsaVpHYxAB
80,Elaf Saleh,,قبل 7 أشهر,,ازق جامعه متى ناويين تقبلون الي سجلوا يدوي السنه الجايه يعني ولا وش!!!,ar,Ci9DQUlRQUNvZENodHljRjlvT2xsTVNsRmxTVzlVWHpCWGNISjRiRXMyVkZSa2JYYxAB
81,Elaf Saleh,,,,"Elaf Saleh
مراجعة واحدة",ar,Ci9DQUlRQUNvZENodHljRjlvT2xsTVNsRmxTVzlVWHpCWGNISjRiRXMyVkZSa2JYYxAB
82,ميسرة الحسن,5,قبل سنة,,السلام عليكم ورحمة الله وبركاته جامعة القصيم جامعة كبيرة مضيافة ولكن بعيدة عن المدينة والموقع للوصول كان صعب جدا الشبكة العنكبوتية ممتازة جدا والمشرفين قمة في التعاون والذوق خصوصا استاذ منصور واستاذة اميرة اتمنى لكم التوفيق,ar,ChdDSUhNMG9nS0VJQ0FnSURfdk83M19BRRAB
83,ميسرة الحسن,,,,"ميسرة الحسن
5 مراجعات",ar,ChdDSUhNMG9nS0VJQ0FnSURfdk83M19BRRAB
84,الفقير إلى عفو الله جل وعلا,5,تاريخ التعديل: قبل سنة,,ليته يكون لها فرع آخر في الزلفي أو على الأقل في المبنى القديم لتكون أقرب للقادمين من الزلفي أو عنيزة من المعلمين أو الطلاب الذين يترددون إلى الجامعة . وفقكم الله لما يحبه ويرضاه. اللهم اغفر لي وللمسلمين والمسلمات. أستغفر الله الذي لا إله إلا هو الحي القيوم وأتوب إليه,ar,ChdDSUhNMG9nS0VJQ0FnSUNsdXRXdC1nRRAB
85,الفقير إلى عفو الله جل وعلا,,,,"الفقير إلى عفو الله جل وعلا
مرشد محلي · 48 مراجعة · 21 صورة",ar,ChdDSUhNMG9nS0VJQ0FnSUNsdXRXdC1nRRAB
86,reem reem,,قبل سنة,,ليت يزرعون اشجار ظل بالمواقف  عن الحر والشمس الجو حار ودوام المسائي امتحاناتهم الساعه وحده او ثنتين الظهر بعز الحر والا كان ياخرون الامتحانات لبعد المغرب  الاشجار بس بالمدخل حق الزينه بس ..فيه كم مظله والطريق لهن مسكر اسمنا حطينا مظله,ar,ChZDSUhNMG9nS0VJQ0FnSURUMWI3WVBREAE
87,reem reem,,,,"reem reem
مرشد محلي · 41 مراجعة",ar,ChZDSUhNMG9nS0VJQ0FnSURUMWI3WVBREAE
